Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
28,20,20,5,1,140.00,1,caught,1,,v South Africa,Port of Spain,15 May 2005,2245
22,28,21,5,0,104.76,1,caught,2,,v Pakistan,Kingstown,18 May 2005,2246
43,60,45,5,1,95.55,1,bowled,2,,v Pakistan,Gros Islet,21 May 2005,2247
124,190,137,13,0,90.51,1,caught,2,,v Pakistan,Gros Islet,22 May 2005,2248
54,82,48,8,1,112.50,1,caught,2,,v Australia,Melbourne (Docklands),7 Oct 2005,2283
0,1,2,0,0,0.00,1,bowled,2,,v Australia,Melbourne (Docklands),9 Oct 2005,2284
6,12,5,1,0,120.00,1,caught,2,,v New Zealand,Wellington,18 Feb 2006,2332
0,13,16,0,0,0.00,1,bowled,1,,v New Zealand,Queenstown,22 Feb 2006,2335
38,35,23,6,2,165.21,1,caught,2,,v New Zealand,Christchurch,25 Feb 2006,2337
5,9,11,1,0,45.45,1,lbw,2,,v New Zealand,Napier,1 Mar 2006,2342
2,24,22,0,0,9.09,1,bowled,2,,v New Zealand,Auckland,4 Mar 2006,2346
35,94,71,3,1,49.29,1,caught,2,,v Zimbabwe,St John's,29 Apr 2006,2368
49,-,73,7,0,67.12,1,caught,1,,v Zimbabwe,St John's,30 Apr 2006,2369
95*,104,91,13,1,104.39,1,not out,2,,v Zimbabwe,Gros Islet,10 May 2006,2371
2,-,17,0,0,11.76,1,bowled,1,,v Zimbabwe,Port of Spain,13 May 2006,2372
11,-,32,0,0,34.37,1,caught,1,,v Zimbabwe,Port of Spain,14 May 2006,2373
123,187,130,18,2,94.61,1,caught,1,,v India,Kingston,18 May 2006,2377
0,7,8,0,0,0.00,1,caught,1,,v India,Kingston,20 May 2006,2379
40,-,65,5,1,61.53,1,caught,2,,v India,Basseterre,23 May 2006,2380
46,-,70,6,1,65.71,1,caught,2,,v India,Port of Spain,26 May 2006,2381
51,-,61,10,0,83.60,1,bowled,1,,v India,Port of Spain,28 May 2006,2382
58,88,46,7,2,126.08,1,caught,2,,v Australia,Kuala Lumpur,12 Sep 2006,2413
45,62,35,9,0,128.57,1,caught,2,,v India,Kuala Lumpur,14 Sep 2006,2414
